quote,movie,type,year
Float like a cadillac sting like a beemer.,Cars,movie,2006
The world is your oyester. Its up to you to find the pearls.,The Pursuit of Happyness,movie,2006
Florals? For Spring. Groundbreaking.,The Devil Wears Prada,movie,2006
Nobody is gonna hit as hard as life but it aint how hard you can hit. Its how hard you can get hit and keep moving forward. Its how much you can take and keep moving forward. Thats how winning is done.,Rocky Balboa,movie,2006
Very nice!,Borat,movie,2006
I have had it with these motherfuckin snakes on this motherfuckin plane!,Snakes on a Plane,movie,2006
Dont ever let somebody tell you you cant do something. Not even me. Alright?,The Pursuit of Happyness,movie,2006
Death is the road to awe.,The Fountain,movie,2006
The past cant hurt you anymore unless you let it.,V for Vendetta,movie,2006
This is Sparta!,300,movie,2006
